Name,Rating,Rating Count,Detailed Ratings,Price Category,Address,Lat,Lon,ZipCode
Elia Mediterranean Restaurant,4.3,1587,"{'Rating 5 ': 1078.0, 'Rating 4 ': 201.0, 'Rating 3 ': 97.0, 'Rating 2 ': 76.0, 'Rating 1 ': 135.0}",3,"240 Hackensack St, East Rutherford, NJ 07073",40.8281035,-74.0973543,07073
EcuAmerica Restaurant,3.8,124,"{'Rating 5 ': 67.0, 'Rating 4 ': 21.0, 'Rating 3 ': 9.0, 'Rating 2 ': 2.0, 'Rating 1 ': 25.0}",,"4 Kearny Ave, Kearny, NJ 07032",40.7523939,-74.1572241,07032
POLONICA RESTAURANT,4.5,227,"{'Rating 5 ': 168.0, 'Rating 4 ': 32.0, 'Rating 3 ': 13.0, 'Rating 2 ': 2.0, 'Rating 1 ': 12.0}",2,"8303 3rd Ave, Brooklyn, NY 11209",40.6254807,-74.029996,11209
Serafina Italian Restaurant Tribeca,4.3,1057,"{'Rating 5 ': 624.0, 'Rating 4 ': 238.0, 'Rating 3 ': 93.0, 'Rating 2 ': 46.0, 'Rating 1 ': 56.0}",2,"95 W Broadway, New York, NY 10007",40.7155871,-74.008876,10007
Krakus Restaurant,4.4,262,"{'Rating 5 ': 187.0, 'Rating 4 ': 39.0, 'Rating 3 ': 15.0, 'Rating 2 ': 5.0, 'Rating 1 ': 16.0}",1,"208 Main Ave #1442, Wallington, NJ 07057",40.8547583,-74.1086611,07057
Rico Rico Restaurant,4.1,290,"{'Rating 5 ': 164.0, 'Rating 4 ': 54.0, 'Rating 3 ': 31.0, 'Rating 2 ': 9.0, 'Rating 1 ': 32.0}",1,"7708 Bergenline Ave, North Bergen, NJ 07047",40.8004418,-74.0073238,07047
Golden Krust Caribbean Restaurant,3.3,162,"{'Rating 5 ': 59.0, 'Rating 4 ': 30.0, 'Rating 3 ': 16.0, 'Rating 2 ': 17.0, 'Rating 1 ': 40.0}",1,"1655 Pitkin Ave, Brooklyn, NY 11207",40.669638,-73.912116,11207
El Nuevo Jaya Restaurant,4.3,188,"{'Rating 5 ': 127.0, 'Rating 4 ': 24.0, 'Rating 3 ': 13.0, 'Rating 2 ': 9.0, 'Rating 1 ': 15.0}",1,"79 Audubon Ave, New York, NY 10032",40.8412255,-73.9376694,10032
უბანი,4.7,518,"{'Rating 5 ': 453.0, 'Rating 4 ': 31.0, 'Rating 3 ': 8.0, 'Rating 2 ': 5.0, 'Rating 1 ': 21.0}",2,"Georgian Cuisine, 8309 3rd Ave, Brooklyn, NY 11209",40.625346,-74.029966,11209
Ukrainian East Village Restaurant,4.4,694,"{'Rating 5 ': 441.0, 'Rating 4 ': 148.0, 'Rating 3 ': 52.0, 'Rating 2 ': 17.0, 'Rating 1 ': 36.0}",2,"140 2nd Ave, New York, NY 10003",40.7288915,-73.9870955,10003
Colonie,4.6,872,"{'Rating 5 ': 643.0, 'Rating 4 ': 149.0, 'Rating 3 ': 56.0, 'Rating 2 ': 11.0, 'Rating 1 ': 13.0}",3,"127 Atlantic Ave, Brooklyn, NY 11201",40.6908464,-73.9958422,11201
Nuria's Restaurant,4.1,512,"{'Rating 5 ': 296.0, 'Rating 4 ': 94.0, 'Rating 3 ': 41.0, 'Rating 2 ': 27.0, 'Rating 1 ': 54.0}",1,"13816 Jamaica Ave, Queens, NY 11435",40.7023357,-73.8147257,11435
Oceana,4.5,1232,"{'Rating 5 ': 839.0, 'Rating 4 ': 247.0, 'Rating 3 ': 93.0, 'Rating 2 ': 24.0, 'Rating 1 ': 29.0}",4,"120 W 49th St, New York, NY 10020",40.7597641,-73.9823074,10020
Junior's Restaurant & Bakery,4.4,11444,"{'Rating 5 ': 6935.0, 'Rating 4 ': 2729.0, 'Rating 3 ': 1060.0, 'Rating 2 ': 337.0, 'Rating 1 ': 383.0}",2,"386 Flatbush Ave Ext, Brooklyn, NY 11201",40.6901493,-73.9818736,11201
Restaurant Relax,4.8,166,"{'Rating 5 ': 147.0, 'Rating 4 ': 13.0, 'Rating 3 ': 0.0, 'Rating 2 ': 3.0, 'Rating 1 ': 3.0}",1,"68A Newel St, Brooklyn, NY 11222",40.7247943,-73.9471566,11222
Gyro king Restaurant,3.2,132,"{'Rating 5 ': 57.0, 'Rating 4 ': 13.0, 'Rating 3 ': 8.0, 'Rating 2 ': 7.0, 'Rating 1 ': 47.0}",,"838 Main St, Paterson, NJ 07503",40.8984087,-74.1632474,07503
Breniz restaurant,3.9,53,"{'Rating 5 ': 36.0, 'Rating 4 ': 3.0, 'Rating 3 ': 0.0, 'Rating 2 ': 3.0, 'Rating 1 ': 11.0}",,"7816 New Utrecht Ave, Brooklyn, NY 11214",40.6129529,-74.0009771,11214
Family c restaurant,4.5,101,"{'Rating 5 ': 81.0, 'Rating 4 ': 9.0, 'Rating 3 ': 2.0, 'Rating 2 ': 1.0, 'Rating 1 ': 8.0}",,"85 Kearny Ave, Kearny, NJ 07032",40.7553584,-74.1558624,07032
Junction Seafood Restaurant / Fast & Fresh Comida Típica,4.5,97,"{'Rating 5 ': 76.0, 'Rating 4 ': 8.0, 'Rating 3 ': 3.0, 'Rating 2 ': 1.0, 'Rating 1 ': 9.0}",2,"34-64 Junction Blvd, Queens, NY 11372",40.7534246,-73.8720155,11372
El Patron Restaurant & Lounge,3.6,684,"{'Rating 5 ': 301.0, 'Rating 4 ': 130.0, 'Rating 3 ': 71.0, 'Rating 2 ': 37.0, 'Rating 1 ': 145.0}",1,"520 Bay St, Staten Island, NY 10304",40.6291502,-74.0767202,10304
Andy's Restaurant,4,127,"{'Rating 5 ': 74.0, 'Rating 4 ': 18.0, 'Rating 3 ': 13.0, 'Rating 2 ': 6.0, 'Rating 1 ': 16.0}",,"2262 3rd Ave, Bronx, NY 10035",40.8025967,-73.9369121,10035
La Guayaca Restaurant,4.4,651,"{'Rating 5 ': 494.0, 'Rating 4 ': 50.0, 'Rating 3 ': 37.0, 'Rating 2 ': 11.0, 'Rating 1 ': 59.0}",2,"74 Monroe St, Newark, NJ 07105",40.7300213,-74.1592675,07105
Restaurant El Rinconcito De Doña Maria,3.8,273,"{'Rating 5 ': 146.0, 'Rating 4 ': 48.0, 'Rating 3 ': 18.0, 'Rating 2 ': 14.0, 'Rating 1 ': 47.0}",1,"255 Kearny Ave, Kearny, NJ 07032",40.760015,-74.1516819,07032
New Dyker Restaurant,4.3,208,"{'Rating 5 ': 122.0, 'Rating 4 ': 48.0, 'Rating 3 ': 19.0, 'Rating 2 ': 8.0, 'Rating 1 ': 11.0}",2,"8505 18th Ave, Brooklyn, NY 11214",40.6075183,-74.0019796,11214
Benares,4.2,1841,"{'Rating 5 ': 1091.0, 'Rating 4 ': 397.0, 'Rating 3 ': 164.0, 'Rating 2 ': 70.0, 'Rating 1 ': 119.0}",2,"45 Murray St, New York, NY 10007",40.7141495,-74.0092085,10007
Puerto Plata Restaurant,4.2,162,"{'Rating 5 ': 100.0, 'Rating 4 ': 23.0, 'Rating 3 ': 19.0, 'Rating 2 ': 6.0, 'Rating 1 ': 14.0}",2,"3123 Fulton St, Brooklyn, NY 11208",40.6817088,-73.879796,11208
Mister Gusto Restaurant,4.1,44,"{'Rating 5 ': 27.0, 'Rating 4 ': 5.0, 'Rating 3 ': 6.0, 'Rating 2 ': 0.0, 'Rating 1 ': 6.0}",,"903 Bergen Ave, Jersey City, NJ 07306",40.7300706,-74.0653838,07306
El Pio Pio,3.9,405,"{'Rating 5 ': 235.0, 'Rating 4 ': 58.0, 'Rating 3 ': 30.0, 'Rating 2 ': 18.0, 'Rating 1 ': 64.0}",1,"449 Central Ave, Jersey City, NJ 07307",40.7501027,-74.0467886,07307
Villard,4,93,"{'Rating 5 ': 51.0, 'Rating 4 ': 12.0, 'Rating 3 ': 16.0, 'Rating 2 ': 8.0, 'Rating 1 ': 6.0}",4,"455 Madison Avenue at, E 50th St, New York, NY 10022",40.7578391,-73.9753076,10022
Restaurant Pearl,4.3,13,"{'Rating 5 ': 10.0, 'Rating 4 ': 0.0, 'Rating 3 ': 1.0, 'Rating 2 ': 1.0, 'Rating 1 ': 1.0}",2,"33 Peck Slip, New York, NY 10038",40.7080218,-74.0014447,10038
Lasagna Restaurant,4.2,795,"{'Rating 5 ': 440.0, 'Rating 4 ': 200.0, 'Rating 3 ': 89.0, 'Rating 2 ': 29.0, 'Rating 1 ': 37.0}",2,"196 8th Ave Corner, W 20th St of, New York, NY 10011",40.7432474,-73.9996989,10011
El Jardin Restaurant,4.1,388,"{'Rating 5 ': 232.0, 'Rating 4 ': 65.0, 'Rating 3 ': 29.0, 'Rating 2 ': 22.0, 'Rating 1 ': 40.0}",2,"769 Main Ave, Passaic, NJ 07055",40.8638314,-74.1291393,07055
Panini Grill,4.6,1301,"{'Rating 5 ': 1031.0, 'Rating 4 ': 155.0, 'Rating 3 ': 31.0, 'Rating 2 ': 28.0, 'Rating 1 ': 56.0}",2,"538 Forest Ave, Staten Island, NY 10310",40.6300851,-74.1081218,10310
La Bottiglia Italian Restaurant,4.7,110,"{'Rating 5 ': 92.0, 'Rating 4 ': 12.0, 'Rating 3 ': 2.0, 'Rating 2 ': 0.0, 'Rating 1 ': 4.0}",2,"293 Port Richmond Ave, Staten Island, NY 10302",40.6340999,-74.1356677,10302
Rocky's Restaurant,4.2,296,"{'Rating 5 ': 176.0, 'Rating 4 ': 68.0, 'Rating 3 ': 23.0, 'Rating 2 ': 7.0, 'Rating 1 ': 22.0}",,"294 Kearny Ave, Kearny, NJ 07032",40.7611392,-74.1504411,07032
La Loteria Restaurant,4.4,59,"{'Rating 5 ': 40.0, 'Rating 4 ': 10.0, 'Rating 3 ': 5.0, 'Rating 2 ': 0.0, 'Rating 1 ': 4.0}",1,"49 Parker Ave, Passaic, NJ 07055",40.8691539,-74.1210913,07055
Mundo Latino Restaurant & Bakery,4.7,29,"{'Rating 5 ': 24.0, 'Rating 4 ': 4.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 1.0}",1,"169 Anderson Ave, Fairview, NJ 07022",40.8148562,-73.9967246,07022
Priory Restaurant,4.5,184,"{'Rating 5 ': 118.0, 'Rating 4 ': 48.0, 'Rating 3 ': 12.0, 'Rating 2 ': 2.0, 'Rating 1 ': 4.0}",,"233 W Market St, Newark, NJ 07103",40.7430731,-74.1861025,07103
Pastai Restaurant,4.2,425,"{'Rating 5 ': 242.0, 'Rating 4 ': 98.0, 'Rating 3 ': 43.0, 'Rating 2 ': 24.0, 'Rating 1 ': 18.0}",2,"186 9th Ave, New York, NY 10011",40.745391,-74.001865,10011
Bareli's Restaurant and Bar,4.6,561,"{'Rating 5 ': 418.0, 'Rating 4 ': 92.0, 'Rating 3 ': 30.0, 'Rating 2 ': 6.0, 'Rating 1 ': 15.0}",3,"219 NJ-3, Secaucus, NJ 07094",40.791255,-74.0549377,07094
Angie's Deli & Restaurant,4.3,234,"{'Rating 5 ': 142.0, 'Rating 4 ': 53.0, 'Rating 3 ': 16.0, 'Rating 2 ': 4.0, 'Rating 1 ': 19.0}",1,"125 Market St, Passaic, NJ 07055",40.8657292,-74.1169993,07055
Salinas Restaurant,4.6,1132,"{'Rating 5 ': 904.0, 'Rating 4 ': 133.0, 'Rating 3 ': 31.0, 'Rating 2 ': 20.0, 'Rating 1 ': 44.0}",3,"136 9th Ave, New York, NY 10011",40.7436822,-74.0030697,10011
Immanuel Restaurant INC,4.2,65,"{'Rating 5 ': 40.0, 'Rating 4 ': 13.0, 'Rating 3 ': 3.0, 'Rating 2 ': 2.0, 'Rating 1 ': 7.0}",1,"799 Stanley Ave, Brooklyn, NY 11207",40.6614295,-73.8796269,11207
CZEN Restaurant,4.5,860,"{'Rating 5 ': 624.0, 'Rating 4 ': 132.0, 'Rating 3 ': 40.0, 'Rating 2 ': 26.0, 'Rating 1 ': 38.0}",2,"4410 Avenue H, Brooklyn, NY 11234",40.6323259,-73.9336629,11234
Gotham Restaurant,4.5,1334,"{'Rating 5 ': 941.0, 'Rating 4 ': 244.0, 'Rating 3 ': 82.0, 'Rating 2 ': 28.0, 'Rating 1 ': 39.0}",4,"12 E 12th St, New York, NY 10003",40.734199,-73.9936942,10003
Ruyi,3.6,55,"{'Rating 5 ': 25.0, 'Rating 4 ': 8.0, 'Rating 3 ': 9.0, 'Rating 2 ': 2.0, 'Rating 1 ': 11.0}",1,"5221 Fort Hamilton Pkwy, Brooklyn, NY 11219",40.6364392,-74.0002846,11219
BV Tuscany Restaurant,4.7,271,"{'Rating 5 ': 219.0, 'Rating 4 ': 34.0, 'Rating 3 ': 11.0, 'Rating 2 ': 5.0, 'Rating 1 ': 2.0}",2,"368 Cedar Ln, Teaneck, NJ 07666",40.888031,-74.019162,07666
Venus Bar and Restaurant,4.4,1545,"{'Rating 5 ': 1034.0, 'Rating 4 ': 263.0, 'Rating 3 ': 116.0, 'Rating 2 ': 34.0, 'Rating 1 ': 98.0}",2,"68 Central Ave, Passaic, NJ 07055",40.8653004,-74.1286943,07055
Joe & Pat's Pizzeria & Restaurant,4.4,1180,"{'Rating 5 ': 798.0, 'Rating 4 ': 202.0, 'Rating 3 ': 66.0, 'Rating 2 ': 33.0, 'Rating 1 ': 81.0}",2,"1758 Victory Blvd, Staten Island, NY 10314",40.612941,-74.122097,10314
Lokanta Turkish Restaurant,4.9,75,"{'Rating 5 ': 71.0, 'Rating 4 ': 1.0, 'Rating 3 ': 1.0, 'Rating 2 ': 0.0, 'Rating 1 ': 2.0}",2,"8312 5th Ave, Brooklyn, NY 11209",40.6233791,-74.0253646,11209
Lancer's Restaurant,4.2,653,"{'Rating 5 ': 374.0, 'Rating 4 ': 139.0, 'Rating 3 ': 69.0, 'Rating 2 ': 22.0, 'Rating 1 ': 49.0}",2,"459 Ferry St, Newark, NJ 07105",40.730731,-74.1421757,07105
Alfaro's Restaurant,4,120,"{'Rating 5 ': 70.0, 'Rating 4 ': 15.0, 'Rating 3 ': 14.0, 'Rating 2 ': 3.0, 'Rating 1 ': 18.0}",,"149 Anderson Ave, Fairview, NJ 07022",40.8142649,-73.9973685,07022
Spanish Sangria,4.5,447,"{'Rating 5 ': 298.0, 'Rating 4 ': 97.0, 'Rating 3 ': 31.0, 'Rating 2 ': 7.0, 'Rating 1 ': 14.0}",2,"157 Magazine St, Newark, NJ 07105",40.7239227,-74.1453628,07105
Thalassa Restaurant,4.5,428,"{'Rating 5 ': 308.0, 'Rating 4 ': 70.0, 'Rating 3 ': 28.0, 'Rating 2 ': 10.0, 'Rating 1 ': 12.0}",3,"179 Franklin St, New York, NY 10013",40.719221,-74.009549,10013
DIG,4.3,547,"{'Rating 5 ': 295.0, 'Rating 4 ': 164.0, 'Rating 3 ': 49.0, 'Rating 2 ': 20.0, 'Rating 1 ': 19.0}",1,"80 Pine St, New York, NY 10005",40.7060908,-74.0072932,10005
Beijing Restaurant,3.7,49,"{'Rating 5 ': 27.0, 'Rating 4 ': 5.0, 'Rating 3 ': 3.0, 'Rating 2 ': 3.0, 'Rating 1 ': 11.0}",2,"196 Boulevard, Hasbrouck Heights, NJ 07604",40.8611049,-74.0786584,07604
ჩიზბოუთი,4.3,893,"{'Rating 5 ': 612.0, 'Rating 4 ': 125.0, 'Rating 3 ': 58.0, 'Rating 2 ': 37.0, 'Rating 1 ': 61.0}",2,"80 Berry St, Brooklyn, NY 11249",40.7199142,-73.957883,11249
Vu,4,266,"{'Rating 5 ': 124.0, 'Rating 4 ': 71.0, 'Rating 3 ': 34.0, 'Rating 2 ': 15.0, 'Rating 1 ': 22.0}",3,"2 Exchange Pl, Jersey City, NJ 07302",40.7170582,-74.0323757,07302
Chicos Pizza and Restaurant,4.7,18,"{'Rating 5 ': 16.0, 'Rating 4 ': 0.0, 'Rating 3 ': 1.0, 'Rating 2 ': 1.0, 'Rating 1 ': 0.0}",1,"161 Front St, Secaucus, NJ 07094",40.7909525,-74.0594537,07094
El Tololoche mexican restaurant,4.3,415,"{'Rating 5 ': 264.0, 'Rating 4 ': 72.0, 'Rating 3 ': 35.0, 'Rating 2 ': 20.0, 'Rating 1 ': 24.0}",2,"7201 16th Ave, Brooklyn, NY 11204",40.617876,-73.999,11204
Guantanamera,4.4,2690,"{'Rating 5 ': 1770.0, 'Rating 4 ': 579.0, 'Rating 3 ': 197.0, 'Rating 2 ': 61.0, 'Rating 1 ': 83.0}",2,"939 8th Ave, New York, NY 10019",40.7658904,-73.9838214,10019
taïm mediterranean kitchen,4.3,313,"{'Rating 5 ': 188.0, 'Rating 4 ': 71.0, 'Rating 3 ': 22.0, 'Rating 2 ': 13.0, 'Rating 1 ': 19.0}",1,"75 Maiden Ln, New York, NY 10038",40.7077988,-74.007607,10038
Dynasty Chinese Restaurant - Brooklyn,4.1,232,"{'Rating 5 ': 131.0, 'Rating 4 ': 54.0, 'Rating 3 ': 13.0, 'Rating 2 ': 5.0, 'Rating 1 ': 29.0}",1,"1669 Flatbush Ave, Brooklyn, NY 11210",40.6297607,-73.9441061,11210
Beirut Restaurant,4.2,1456,"{'Rating 5 ': 930.0, 'Rating 4 ': 241.0, 'Rating 3 ': 92.0, 'Rating 2 ': 43.0, 'Rating 1 ': 150.0}",2,"1543 Main Ave, Clifton, NJ 07011",40.8859786,-74.1509352,07011
La Casona SalvyCub Restaurant,4.6,174,"{'Rating 5 ': 143.0, 'Rating 4 ': 17.0, 'Rating 3 ': 4.0, 'Rating 2 ': 1.0, 'Rating 1 ': 9.0}",,"414 38th St, Union City, NJ 07087",40.7751044,-74.0262712,07087
Cafe Milano Pizzeria and Restaurant,4.2,358,"{'Rating 5 ': 211.0, 'Rating 4 ': 77.0, 'Rating 3 ': 26.0, 'Rating 2 ': 13.0, 'Rating 1 ': 31.0}",2,"401 Forest Ave, Staten Island, NY 10310",40.6310462,-74.1029363,10310
O'Hara's Restaurant and Pub,4.6,4660,"{'Rating 5 ': 3390.0, 'Rating 4 ': 863.0, 'Rating 3 ': 259.0, 'Rating 2 ': 63.0, 'Rating 1 ': 85.0}",2,"120 Cedar St, New York, NY 10006",40.7095008,-74.0126642,10006
Chez Moi,4.5,603,"{'Rating 5 ': 407.0, 'Rating 4 ': 133.0, 'Rating 3 ': 24.0, 'Rating 2 ': 14.0, 'Rating 1 ': 25.0}",2,"135 Atlantic Ave, Brooklyn, NY 11201",40.690753,-73.995638,11201
Ivy Inn Restaurant & Bar,4.2,450,"{'Rating 5 ': 262.0, 'Rating 4 ': 104.0, 'Rating 3 ': 39.0, 'Rating 2 ': 15.0, 'Rating 1 ': 30.0}",,"268 Terrace Ave, Hasbrouck Heights, NJ 07604",40.8609322,-74.0721566,07604
The Soul Spot,4.2,1084,"{'Rating 5 ': 678.0, 'Rating 4 ': 191.0, 'Rating 3 ': 96.0, 'Rating 2 ': 39.0, 'Rating 1 ': 80.0}",2,"302 Atlantic Ave, Brooklyn, NY 11201",40.6883271,-73.9888261,11201
No.5 restaurant 五号食堂,4,10,"{'Rating 5 ': 6.0, 'Rating 4 ': 2.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 2.0}",1,"968 58th St, Brooklyn, NY 11219",40.6342286,-74.0045847,11219
Al Raouche Restaurant,4.3,453,"{'Rating 5 ': 287.0, 'Rating 4 ': 85.0, 'Rating 3 ': 33.0, 'Rating 2 ': 22.0, 'Rating 1 ': 26.0}",1,"169 Crooks Ave, Paterson, NJ 07503",40.8903597,-74.1522192,07503
Tulcingo Restaurant,3.7,479,"{'Rating 5 ': 221.0, 'Rating 4 ': 100.0, 'Rating 3 ': 50.0, 'Rating 2 ': 31.0, 'Rating 1 ': 77.0}",2,"5520 5th Ave, Brooklyn, NY 11220",40.6420247,-74.0137958,11220
Viva Mexico Restaurant,4.6,166,"{'Rating 5 ': 138.0, 'Rating 4 ': 15.0, 'Rating 3 ': 2.0, 'Rating 2 ': 0.0, 'Rating 1 ': 11.0}",2,"1474 86th St, Brooklyn, NY 11228",40.6115017,-74.0101027,11228
Kan Zamaan Restaurant,4.3,458,"{'Rating 5 ': 354.0, 'Rating 4 ': 26.0, 'Rating 3 ': 13.0, 'Rating 2 ': 5.0, 'Rating 1 ': 60.0}",2,"247 Buffalo Ave, Paterson, NJ 07503",40.8937648,-74.1500934,07503
Radhuni Sweets & Restaurant,3.9,524,"{'Rating 5 ': 287.0, 'Rating 4 ': 85.0, 'Rating 3 ': 49.0, 'Rating 2 ': 15.0, 'Rating 1 ': 88.0}",1,"483 McDonald Ave, Brooklyn, NY 11218",40.642395,-73.9790921,11218
Buttonwood Restaurant and Bar,,,{},,"120 Water St, New York, NY 10005",40.705498,-74.007364,10005
ilili Restaurant,4.5,3411,"{'Rating 5 ': 2334.0, 'Rating 4 ': 678.0, 'Rating 3 ': 201.0, 'Rating 2 ': 95.0, 'Rating 1 ': 103.0}",3,"236 5th Ave, New York, NY 10001",40.7443583,-73.9877361,10001
The Franklin Bar & Restaurant,4.6,162,"{'Rating 5 ': 125.0, 'Rating 4 ': 24.0, 'Rating 3 ': 2.0, 'Rating 2 ': 5.0, 'Rating 1 ': 6.0}",2,"780 5th St, Secaucus, NJ 07094",40.7928932,-74.0625768,07094
Quisqueya Restaurant,4.1,110,"{'Rating 5 ': 66.0, 'Rating 4 ': 21.0, 'Rating 3 ': 9.0, 'Rating 2 ': 1.0, 'Rating 1 ': 13.0}",2,"214 Bright St, Jersey City, NJ 07302",40.7195141,-74.0547535,07302
Schilling Restaurant & Bar,4.4,498,"{'Rating 5 ': 311.0, 'Rating 4 ': 114.0, 'Rating 3 ': 49.0, 'Rating 2 ': 10.0, 'Rating 1 ': 14.0}",3,"109 Washington St, New York, NY 10006",40.7085845,-74.0140166,10006
Golden Krust Caribbean Restaurant,4.1,217,"{'Rating 5 ': 118.0, 'Rating 4 ': 52.0, 'Rating 3 ': 24.0, 'Rating 2 ': 6.0, 'Rating 1 ': 17.0}",1,"568 Flatbush Ave, Brooklyn, NY 11225",40.659782,-73.96089,11225
Sabores Latinos Restaurant,4.3,18,"{'Rating 5 ': 14.0, 'Rating 4 ': 1.0, 'Rating 3 ': 0.0, 'Rating 2 ': 0.0, 'Rating 1 ': 3.0}",,"2201 Summit Ave, Union City, NJ 07087",40.7682126,-74.0372876,07087
Maria's Restaurant,4.6,68,"{'Rating 5 ': 53.0, 'Rating 4 ': 10.0, 'Rating 3 ': 3.0, 'Rating 2 ': 0.0, 'Rating 1 ': 2.0}",,"24 Market St, Passaic, NJ 07055",40.8619485,-74.1160959,07055
Bayonne BBQ & Wings,4.1,57,"{'Rating 5 ': 39.0, 'Rating 4 ': 3.0, 'Rating 3 ': 4.0, 'Rating 2 ': 3.0, 'Rating 1 ': 8.0}",2,"523 John F. Kennedy Blvd, Bayonne, NJ 07002",40.6643246,-74.1248906,07002
Lily House Chinese Restaurant,4.1,120,"{'Rating 5 ': 73.0, 'Rating 4 ': 22.0, 'Rating 3 ': 2.0, 'Rating 2 ': 6.0, 'Rating 1 ': 17.0}",2,"420 Kearny Ave, Kearny, NJ 07032",40.7652331,-74.1477867,07032
La Kausa Restaurant,4.5,620,"{'Rating 5 ': 439.0, 'Rating 4 ': 111.0, 'Rating 3 ': 26.0, 'Rating 2 ': 15.0, 'Rating 1 ': 29.0}",2,"7815 Bergenline Ave Suite 2, North Bergen, NJ 07047",40.8014036,-74.0071671,07047
Estelita,4.2,174,"{'Rating 5 ': 105.0, 'Rating 4 ': 37.0, 'Rating 3 ': 14.0, 'Rating 2 ': 6.0, 'Rating 1 ': 12.0}",,"7007 Bergenline Ave, North Bergen, NJ 07047",40.7964435,-74.0108292,07047
Nicole's Caribbean Restaurant,3.9,200,"{'Rating 5 ': 115.0, 'Rating 4 ': 30.0, 'Rating 3 ': 12.0, 'Rating 2 ': 11.0, 'Rating 1 ': 32.0}",2,"521 Jersey Ave, Jersey City, NJ 07302",40.7209261,-74.0467403,07302
DIG,4.1,168,"{'Rating 5 ': 91.0, 'Rating 4 ': 41.0, 'Rating 3 ': 10.0, 'Rating 2 ': 8.0, 'Rating 1 ': 18.0}",1,"225 Liberty St, New York, NY 10281",40.7127482,-74.015579,10281
George's,4.3,2889,"{'Rating 5 ': 1650.0, 'Rating 4 ': 728.0, 'Rating 3 ': 284.0, 'Rating 2 ': 96.0, 'Rating 1 ': 131.0}",2,"89 Greenwich St, New York, NY 10006",40.7078386,-74.0134814,10006
Subway,3.5,92,"{'Rating 5 ': 39.0, 'Rating 4 ': 17.0, 'Rating 3 ': 10.0, 'Rating 2 ': 6.0, 'Rating 1 ': 20.0}",1,"1724 Victory Blvd, Staten Island, NY 10314",40.6128852,-74.1211878,10314
Paisano's,4.4,1046,"{'Rating 5 ': 686.0, 'Rating 4 ': 200.0, 'Rating 3 ': 69.0, 'Rating 2 ': 42.0, 'Rating 1 ': 49.0}",2,"132 Park Ave, Rutherford, NJ 07070",40.8267839,-74.1060853,07070
Bogota Chinese Restaurant,4.1,64,"{'Rating 5 ': 42.0, 'Rating 4 ': 9.0, 'Rating 3 ': 1.0, 'Rating 2 ': 2.0, 'Rating 1 ': 10.0}",,"10 River Rd, Bogota, NJ 07603",40.8690111,-74.0317211,07603
