CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41538513,ARTICHOKE BASILLE'S PIZZA & BAR,Manhattan,111,MACDOUGAL STREET,10012,6462786100,Pizza,3/4/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,3/4/22,4/23/24,Cycle Inspection / Initial Inspection,40.72981139,-74.00065667,102,01,006500,1008728,1005420044,MN23,
50073168,LET'S MEAT,Manhattan,307,5 AVENUE,10016,2128890089,Korean,4/22/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,48,,,4/23/24,Cycle Inspection / Initial Inspection,40.74677863,-73.98575527,105,04,007400,1016982,1008610003,MN17,
50099828,MILK BAR,Manhattan,235,WEST   57 STREET,10019,2128435100,Frozen Desserts,12/8/21,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,4,,,4/23/24,Pre-permit (Operational) / Compliance Inspection,40.76631254,-73.98190275,105,06,013700,1024900,1010297501,MN17,
50057386,CHOW HOUSE,Manhattan,181,BLEECKER STREET,10012,6463582779,Chinese,3/11/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,35,Z,3/11/24,4/23/24,Cycle Inspection / Re-inspection,40.7290154,-74.00087314,102,01,006500,1008713,1005400040,MN23,
41685305,BONAO CHIMI RESTAURANT,Queens,7614,JAMAICA AVENUE,11421,3478293089,Latin American,2/27/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,2/27/23,4/23/24,Cycle Inspection / Re-inspection,40.69158831,-73.8653987,409,30,000400,4183075,4089050007,QN53,
41395519,CITI FIELD STAND 321,Queens,000,126TH st & ROOSEVELT AVENUE,,7185958100,American,6/5/19,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11,A,6/5/19,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
50072579,PARIS BAGUETTE,Queens,2944,UNION ST,11354,9293050404,Bakery Products/Desserts,9/21/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,,,4/23/24,Cycle Inspection / Initial Inspection,40.77131565,-73.82658101,407,20,088901,4445300,4043430110,QN22,
50058412,ANGIOLINA'S RESTAURANT,Bronx,1322A,JEROME AVENUE,10452,7183002059,Spanish,2/2/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,B,2/2/22,4/23/24,Cycle Inspection / Re-inspection,40.83852709,-73.91889466,204,16,022101,2008044,2028400001,BX63,
50082539,FACTORY 380,Manhattan,380,3 AVENUE,10016,2126866380,American,1/28/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,1/28/23,4/23/24,Cycle Inspection / Re-inspection,40.74158488,-73.98114805,106,02,006800,1018179,1008830046,MN21,
50033511,DALE DINER,Bronx,189,WEST  231 STREET,10463,7185494445,American,2/17/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,18,B,2/17/22,4/23/24,Cycle Inspection / Re-inspection,40.87873991,-73.90429747,208,11,028300,2094712,2032670079,BX29,
40384662,J & R PIZZA,Brooklyn,1916,KINGS HIGHWAY,11229,7189986627,Pizza,2/22/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,31,,,4/23/24,Cycle Inspection / Initial Inspection,40.61035512,-73.95438577,315,48,055000,3182549,3067820074,BK44,
50042574,CARIDAD EXPRESS RESTAURANT,Bronx,710,EAST  138 STREET,10454,7184027571,Latin American,12/22/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,12/22/23,4/23/24,Cycle Inspection / Initial Inspection,40.80492715,-73.91303709,201,08,002702,2003792,2025660018,BX39,
50135227,MALONES IRISH PUB & RESTAURANT,Manhattan,692,3 AVENUE,10017,6466371689,Irish,6/22/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24,,,4/23/24,Pre-permit (Operational) / Initial Inspection,40.75181039,-73.97369561,106,04,009200,1036173,1012980136,MN19,
41600677,XO TASTE,Manhattan,41,ELIZABETH STREET,10013,2123438339,Chinese,6/1/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,,,4/23/24,Cycle Inspection / Initial Inspection,40.71682585,-73.99681469,102,01,004100,1002621,1002040024,MN24,
50088646,EL GRAN CANARIO RESTAURANT,Brooklyn,174,BORINQUEN PLACE,11211,7183885555,Spanish,5/22/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,61,,,4/23/24,Cycle Inspection / Initial Inspection,40.71068749,-73.95371447,301,34,051300,3063037,3024110027,BK73,
40932307,FIDDLESTICKS,Manhattan,5456,GREENWICH AVENUE,,2124630516,American,3/23/22,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,13,A,3/23/22,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
41545370,"SHRINE, YATENGA",Manhattan,22712269,7 AVENUE,,2126907807,African,6/24/22,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,38,,,4/23/24,Inter-Agency Task Force / Initial Inspection,0,0,,,,,1,,
50057374,TRIA DINER,Manhattan,22,CHATHAM SQ,10038,2124063653,American,10/3/22,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,15,Z,10/3/22,4/23/24,Cycle Inspection / Reopening Inspection,40.71352666,-73.99786093,103,01,002700,1003385,1002790066,MN27,
50119088,CHONGQING WHARF,Brooklyn,6324,FORT HAMILTON PARKWAY,11219,7184890333,Chinese,6/6/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,68,,,4/23/24,Cycle Inspection / Initial Inspection,40.63147406,-74.00797647,310,38,012000,3328749,3057360028,BK34,
50063576,CONCOURSE BAKERY,Bronx,1189,MORRIS AVENUE,10456,9146687690,Caribbean,6/13/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,18,,,4/23/24,Cycle Inspection / Initial Inspection,40.83283944,-73.91435198,204,16,018101,2002601,2024490060,BX14,
50109902,LA TAMALERIA COLOMBIANA,Queens,3223,JUNCTION BLVD,11369,9292934652,Spanish,2/20/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11,A,2/20/24,4/23/24,Cycle Inspection / Re-inspection,40.75789275,-73.87422686,403,21,035300,4034930,4014240062,QN27,
50034676,AFGHAN KEBAB HOUSE,Manhattan,1345,2 AVENUE,10021,2125172776,Afghan,3/11/20,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,7,A,3/11/20,4/23/24,Cycle Inspection / Initial Inspection,40.76797545,-73.95897782,108,04,012600,1043927,1014250027,MN31,
41437526,NELLO,Manhattan,696,MADISON AVENUE,10065,2129809099,Italian,4/11/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12,A,4/11/22,4/23/24,Cycle Inspection / Initial Inspection,40.76570617,-73.96987429,108,04,011401,1085128,1013770016,MN40,
50082996,NY 99 CENTS PIZZA,Manhattan,109B,LAFAYETTE STREET,10013,9294858969,Pizza,3/13/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,40.71808025,-74.00082971,101,01,003100,1075741,1001977501,MN24,
50118091,MARIA'S PIZZA,Brooklyn,7101,FORT HAMILTON PARKWAY,11228,7187459343,Pizza,2/16/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,29,,,4/23/24,Cycle Inspection / Initial Inspection,40.62764455,-74.01367162,310,43,020600,3147032,3059020010,BK30,
50089245,SUMMER,Queens,8536,GRAND AVE,11373,7188036233,Southeast Asian,6/13/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,36,,,4/23/24,Cycle Inspection / Initial Inspection,40.73557958,-73.88103488,404,25,047900,4065263,4028750026,QN50,
50019120,NEW TOPAZ,Manhattan,127,WEST   56 STREET,10019,2129578020,Thai,11/16/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,,,4/23/24,Cycle Inspection / Initial Inspection,40.76412169,-73.9787988,105,06,013700,1023453,1010090017,MN17,
41685153,RIVERSIDE CAFE,Manhattan,475,RIVERSIDE DRIVE,10115,2128703043,American,3/15/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7,A,3/15/22,4/23/24,Cycle Inspection / Initial Inspection,40.81109448,-73.96416759,109,07,020500,1059835,1019910001,MN09,
50014424,EL COYOTE,Queens,70-09,AUSTIN STREET,11375,7182680777,Mexican,7/21/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,7,A,7/21/22,4/23/24,Cycle Inspection / Initial Inspection,40.72082674,-73.84660157,406,29,071100,4077481,4032380033,QN17,
50107047,KING BARKA,Manhattan,2733,FREDERICK DOUGLASS BOULEVARD,,3476418572,Caribbean,2/28/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,16,B,2/28/23,4/23/24,Cycle Inspection / Re-inspection,0,0,,,,,1,,
50107959,PANDA 148,Manhattan,23,CATHERINE STREET,10038,9172399908,Chinese,1/31/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,14,,,4/23/24,Cycle Inspection / Initial Inspection,40.71289261,-73.99713592,103,01,000800,1003431,1002800055,MN27,
40393977,TONY'S PIZZA II,Brooklyn,1107,RUTLAND ROAD,11212,7189538163,Pizza,3/9/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,,,4/23/24,Cycle Inspection / Initial Inspection,40.66473183,-73.92321958,317,41,089200,3099560,3046000040,BK81,
50107833,IBAKERY,Brooklyn,2210,86 STREET,11214,7184894130,Chinese,10/17/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,45,,,4/23/24,Cycle Inspection / Initial Inspection,40.60175637,-73.99352517,311,43,029600,3167097,3063810041,BK28,
50093334,JONGRO BBQ,Queens,15514,ROOSEVELT AVE,11354,7189399330,Korean,5/16/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,28,N,,4/23/24,Cycle Inspection / Initial Inspection,40.76401231,-73.80956115,407,20,117100,4119346,4052750132,QN51,
41482516,SHANGERILA RESTAURANT,Bronx,289395,BUHRE AVENUE,,7188286080,Japanese,4/28/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,2,,
50119696,DOS TOROS,Brooklyn,189,BEDFORD AVENUE,11211,7183848833,Mexican,5/23/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.71761142,-73.95794475,301,34,055300,3062092,3023280005,BK73,
50065825,MIRANDA'S PUPUSERIA,Queens,90-40,160 STREET,11432,7188802747,Spanish,4/11/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,4/11/23,4/23/24,Cycle Inspection / Initial Inspection,40.70492565,-73.79990585,412,24,044601,4441658,4097560054,QN61,
41644360,CAFE MOGADOR,Brooklyn,133,WYTHE AVENUE,11249,7184869222,Middle Eastern,3/18/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,3/18/24,4/23/24,Cycle Inspection / Initial Inspection,40.71983545,-73.96007539,301,33,055700,3061884,3023180002,BK73,
40686672,PERKINS RESTAURANT & BAKERY,Staten Island,1409,HYLAN BOULEVARD,10305,7189799180,American,3/8/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,52,,,4/23/24,Cycle Inspection / Initial Inspection,40.59424704,-74.08655065,502,50,009601,5095413,5033240001,SI36,
50047418,CHEZ MATY ET SOKHNA,Manhattan,2249,ADAM CLAYTON POWELL JR BOULEVARD,,2123685005,African,9/13/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,42,,,4/23/24,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50116122,98K HAMBURGER,Queens,8113,BROADWAY,11373,7186852088,Chinese,7/24/23,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,9,Z,7/24/23,4/23/24,Pre-permit (Operational) / Reopening Inspection,40.7432098,-73.88348241,404,25,026902,4037310,4015090033,QN29,
50098565,TARIM UYGHUR CUISINE,Queens,136-20,ROOSEVELT AVENUE,11354,6193650179,Chinese,1/15/20,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,1/15/20,4/23/24,Pre-permit (Operational) / Initial Inspection,40.75977791,-73.82923543,407,20,085300,4113546,4050190005,QN22,
50107995,LA BAGEL DELIGHT,Brooklyn,122,7 AVENUE,11215,7183989529,Bagels/Pretzels,10/29/21,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,13,A,10/29/21,4/23/24,Pre-permit (Operational) / Re-inspection,40.67347797,-73.97613838,306,39,015700,3020372,3009600042,BK37,
50132920,FIVE GUYS,Brooklyn,911,ERSKINE STREET,11239,5166360205,Hamburgers,7/26/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,7/26/23,4/23/24,Pre-permit (Operational) / Initial Inspection,40.65514306,-73.86770341,305,42,107000,3000000,3045867501,BK82,
50094252,Manchu Wok,Queens,,150TH AVE AND 147,11430,7189398688,Other,4/6/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11,A,4/6/23,4/23/24,Pre-permit (Operational) / Initial Inspection,,,,,,,,,
50008021,BOMBAY GRILL HOUSE,Manhattan,764A,9TH AVE,10019,2129771010,Indian,1/27/22,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,40.76424383,-73.98837957,104,03,013300,,1,MN15,
50066463,Cafe 53,Manhattan,1301,AVE OF TH AMER,,2129746075,American,3/28/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,3/28/24,4/23/24,Cycle Inspection / Re-inspection,0,0,,,,,1,,
50103158,ATLANTIS DINER,Brooklyn,8600,FOSTER AVENUE,11236,3479061574,American,10/4/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,16,,,4/23/24,Cycle Inspection / Initial Inspection,40.64338487,-73.91434747,318,46,095800,3222894,3079650042,BK50,
41142196,UKUS,Queens,4208,30 AVENUE,11103,7182678587,Eastern European,2/15/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,40.76304785,-73.91323637,401,22,014900,4011927,4006960037,QN70,
41420319,OCEANA,Manhattan,120,WEST   49 STREET,10019,2127595941,Seafood,3/31/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12,A,3/31/22,4/23/24,Cycle Inspection / Initial Inspection,40.75960433,-73.9817241,105,04,012500,1022693,1010010029,MN17,
50140336,GEORGIAN STAR,Brooklyn,1307,AVENUE Z,11235,5757772727,Eastern European,3/8/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,46,Z,3/8/24,4/23/24,Pre-permit (Operational) / Re-inspection,40.58789511,-73.95588812,315,48,059000,3203951,3074340045,BK17,
50084884,THE RICHMOND,Staten Island,695,BAY STREET,10304,7184898805,American,2/4/20,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,26,,,4/23/24,Cycle Inspection / Initial Inspection,40.6250354,-74.07472444,501,49,000600,5013228,5004960054,SI37,
50032988,LA LOTERIA,Manhattan,29,7 AVENUE SOUTH,10014,2128589096,Mexican,5/11/22,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.73080491,-74.00439471,102,03,006700,1087324,1005860045,MN23,
50112406,MANDEVILLE CAFE,Brooklyn,171,UTICA AVENUE,11213,7188726663,Caribbean,10/31/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,10/31/22,4/23/24,Cycle Inspection / Re-inspection,40.6729929,-73.93071563,308,36,034700,3036281,3013670009,BK61,
50085240,YSL BAKERY,Queens,13685,41ST AVE,11355,7188860675,Bakery Products/Desserts,8/5/22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,30,,,4/23/24,Cycle Inspection / Initial Inspection,40.75867698,-73.82904695,407,20,085300,4113564,4050190084,QN22,
40799188,BREAKHOUSE CAFE,Brooklyn,536,3 AVENUE,11215,7187881846,Sandwiches,3/7/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,3/7/23,4/23/24,Cycle Inspection / Re-inspection,40.66914074,-73.99296346,306,39,011700,3023079,3010260042,BK37,
41575384,LITTLE ITALY PIZZA,Manhattan,2047,BROADWAY,10023,2123628822,Pizza,2/3/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,2/3/22,4/23/24,Cycle Inspection / Re-inspection,40.77763473,-73.98237988,107,06,015900,1030373,1011620029,MN14,
50114323,UFT - KITCHEN WORKS,Manhattan,52,BROADWAY,10004,3478317506,Other,3/7/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.70648564,-74.01272483,101,01,000900,1000814,1000220028,MN25,
50106584,LOUIE'S CHICKEN,Manhattan,1026,2 AVENUE,10022,2127942458,Chicken,1/24/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,,,4/23/24,Cycle Inspection / Initial Inspection,40.7575149,-73.96658607,106,05,010800,1039939,1013470002,MN19,
50074331,KUU,Manhattan,1275,1 AVENUE,10065,6462885884,Japanese,4/2/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,34,Z,4/2/24,4/23/24,Cycle Inspection / Re-inspection,40.76566385,-73.95756772,108,05,011800,1044761,1014430030,MN31,
50105973,MALA SIBLINGS/TOOFY DUCK,Queens,13505,ROOSEVELT AVE,11354,6468012588,Chinese,1/25/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,40,,,4/23/24,Cycle Inspection / Initial Inspection,40.75905953,-73.83159801,407,20,087100,4112318,4049760018,QN22,
50100933,GEO SI GI KOREAN RESTAURANT,Queens,15228,NORTHERN BLVD,11354,7188880001,Korean,9/24/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,37,,,4/23/24,Cycle Inspection / Initial Inspection,40.7648894,-73.81214339,407,20,115500,4119195,4052660012,QN51,
50076290,TORO LOCO,Manhattan,15,STONE STREET,10004,9172620444,Mexican,4/3/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,21,,,4/23/24,Cycle Inspection / Initial Inspection,40.7040264,-74.01206794,101,01,000900,1000040,1000117501,MN25,
50034716,GREEN GARDEN,Staten Island,752,FOREST AVENUE,10310,7188150161,Chinese,5/2/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,25,,,4/23/24,Cycle Inspection / Initial Inspection,40.62913625,-74.1144443,501,49,012100,5008061,5003000076,SI35,
50122846,IPIZZANY,Manhattan,621,2 AVENUE,10016,6465967071,Pizza,9/5/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,43,Z,9/5/23,4/23/24,Pre-permit (Operational) / Re-inspection,40.74467726,-73.9759612,106,02,007000,1020129,1009140035,MN20,
40378212,CUCHIFRITO,Manhattan,168,EAST  116 STREET,10029,2128764846,Spanish,1/23/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,26,B,1/23/24,4/23/24,Cycle Inspection / Re-inspection,40.79828609,-73.94086392,111,08,018200,1052256,1016430044,MN34,
50009542,CAFE OLYMPIA,Manhattan,664,LEXINGTON AVENUE,10022,2123558383,Sandwiches,5/2/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.75989278,-73.96989137,105,04,010000,1036528,1013100059,MN19,
50033252,MARIO'S PIZZA,Brooklyn,940,MANHATTAN AVENUE,11222,7183492700,Pizza,10/13/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,B,10/13/22,4/23/24,Cycle Inspection / Re-inspection,40.73136686,-73.95444333,301,33,057500,3064611,3025510006,BK76,
50039189,MCDONALD'S,Bronx,16,WESTCHESTER SQ,10461,7182392500,Hamburgers,11/20/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.84043333,-73.84331417,210,18,020000,2041855,2039810021,BX37,
50075195,CHAMPION PIZZA,Queens,3112,BROADWAY,11106,7184339949,Pizza,1/26/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25,,,4/23/24,Cycle Inspection / Initial Inspection,40.76187053,-73.92520087,401,22,005900,4008259,4006110038,QN70,
50002262,SOUTHEAST BAKERY,Brooklyn,6821,FORT HAMILTON PARKWAY,11219,7186801188,Chinese,9/20/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,18,B,9/20/23,4/23/24,Cycle Inspection / Re-inspection,40.62900893,-74.01162922,310,43,021000,3143040,3057710023,BK30,
50044818,J&M PIZZA,Queens,263,BEACH   20 STREET,11691,7189540034,Pizza,3/10/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,3/10/23,4/23/24,Cycle Inspection / Re-inspection,40.59645317,-73.75416641,414,31,099801,4301264,4157800075,QN15,
50108027,GARDEN CITY DELI,Manhattan,77,PEARL STREET,10004,6466575295,American,10/12/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,41,,,4/23/24,Cycle Inspection / Initial Inspection,40.70394698,-74.01029705,101,01,000900,1000836,1000290022,MN25,
50124859,ALMAH COFFEE SHOP,Brooklyn,87,UTICA AVENUE,11213,3475336494,Jewish/Kosher,2/24/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20,,,4/23/24,Cycle Inspection / Initial Inspection,40.67592964,-73.93043497,308,36,030700,3324595,3013430001,BK61,
50006109,THE NEW RANCH,Bronx,1619,WESTCHESTER AVENUE,10472,7189910708,American,1/25/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,24,,,4/23/24,Cycle Inspection / Initial Inspection,40.82946273,-73.8747451,209,18,006200,2025353,2037770001,BX08,
